Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02908,4,SABO TWO LLC,GETT,2017,4,01/22/2017,01/28/2017,472,24
B02907,4,SABO ONE LLC,GETT,2017,9,02/26/2017,03/04/2017,"49,877","5,640"
B02908,4,SABO TWO LLC,GETT,2016,25,06/12/2016,06/18/2016,717,41
B02907,4,SABO ONE LLC,GETT,2016,52,12/18/2016,12/24/2016,"79,313","4,776"
B02907,4,SABO ONE LLC,GETT,2016,47,11/13/2016,11/19/2016,"52,124","3,828"
B02907,4,SABO ONE LLC,GETT,2017,8,02/19/2017,02/25/2017,503,24
B02907,4,SABO ONE LLC,GETT,2016,37,09/04/2016,09/10/2016,"4,984","1,679"
B02908,4,SABO TWO LLC,GETT,2017,3,01/15/2017,01/21/2017,527,22
B02907,4,SABO ONE LLC,GETT,2016,34,08/14/2016,08/20/2016,"35,837","2,612"
B02907,4,SABO ONE LLC,GETT,2016,33,08/07/2016,08/13/2016,"32,341","2,465"
B02908,4,SABO TWO LLC,GETT,2016,39,09/18/2016,09/24/2016,238,7
B02907,4,SABO ONE LLC,GETT,2017,17,04/23/2017,04/29/2017,"88,361","7,184"
B02908,4,SABO TWO LLC,GETT,2017,7,02/12/2017,02/18/2017,"71,251","5,863"
B02908,4,SABO TWO LLC,GETT,2016,44,10/23/2016,10/29/2016,332,11
B02907,4,SABO ONE LLC,GETT,2017,5,01/29/2017,02/04/2017,"27,257","4,547"
B02908,4,SABO TWO LLC,GETT,2016,51,12/11/2016,12/17/2016,664,20
B02908,4,SABO TWO LLC,GETT,2016,49,11/27/2016,12/03/2016,397,16
B02908,4,SABO TWO LLC,GETT,2016,35,08/21/2016,08/27/2016,190,5
B02908,4,SABO TWO LLC,GETT,2016,18,04/24/2016,04/30/2016,345,9
B02908,4,SABO TWO LLC,GETT,2017,8,02/19/2017,02/25/2017,"68,630","6,047"
B02908,4,SABO TWO LLC,GETT,2016,34,08/14/2016,08/20/2016,167,7
B02908,4,SABO TWO LLC,GETT,2017,1,01/01/2017,01/07/2017,395,20
B02907,4,SABO ONE LLC,GETT,2016,45,10/30/2016,11/05/2016,"52,624","3,958"
B02907,4,SABO ONE LLC,GETT,2016,35,08/21/2016,08/27/2016,"34,690","2,704"
B02908,4,SABO TWO LLC,GETT,2017,16,04/16/2017,04/22/2017,877,38
B02907,4,SABO ONE LLC,GETT,2016,25,06/12/2016,06/18/2016,"27,473","1,853"
B02908,4,SABO TWO LLC,GETT,2016,30,07/17/2016,07/23/2016,233,6
B02907,4,SABO ONE LLC,GETT,2016,44,10/23/2016,10/29/2016,"67,832","3,850"
B02908,4,SABO TWO LLC,GETT,2016,27,06/26/2016,07/02/2016,526,51
B02908,4,SABO TWO LLC,GETT,2016,32,07/31/2016,08/06/2016,604,59
B02907,4,SABO ONE LLC,GETT,2017,12,03/19/2017,03/25/2017,"83,841","6,728"
B02908,4,SABO TWO LLC,GETT,2017,5,01/29/2017,02/04/2017,"42,524","5,261"
B02907,4,SABO ONE LLC,GETT,2016,31,07/24/2016,07/30/2016,"32,116","2,277"
B02907,4,SABO ONE LLC,GETT,2016,27,06/26/2016,07/02/2016,"24,428","2,042"
B02908,4,SABO TWO LLC,GETT,2016,37,09/04/2016,09/10/2016,270,8
B02908,4,SABO TWO LLC,GETT,2016,23,05/29/2016,06/04/2016,444,40
B02907,4,SABO ONE LLC,GETT,2016,43,10/16/2016,10/22/2016,"54,386","3,605"
B02907,4,SABO ONE LLC,GETT,2017,2,01/08/2017,01/14/2017,"60,582","5,282"
B02908,4,SABO TWO LLC,GETT,2016,24,06/05/2016,06/11/2016,698,39
B02907,4,SABO ONE LLC,GETT,2016,16,04/10/2016,04/16/2016,"33,299","1,661"
B02907,4,SABO ONE LLC,GETT,2016,26,06/19/2016,06/25/2016,"28,083","1,901"
B02907,4,SABO ONE LLC,GETT,2017,10,03/05/2017,03/11/2017,"82,382","6,446"
B02908,4,SABO TWO LLC,GETT,2016,38,09/11/2016,09/17/2016,274,9
B02907,4,SABO ONE LLC,GETT,2016,17,04/17/2016,04/23/2016,"31,078","1,586"
B02907,4,SABO ONE LLC,GETT,2016,42,10/09/2016,10/15/2016,"39,495","3,249"
B02908,4,SABO TWO LLC,GETT,2016,19,05/01/2016,05/07/2016,380,8
B02908,4,SABO TWO LLC,GETT,2016,20,05/08/2016,05/14/2016,324,6
B02907,4,SABO ONE LLC,GETT,2016,41,10/02/2016,10/08/2016,"39,262","3,147"
B02908,4,SABO TWO LLC,GETT,2016,43,10/16/2016,10/22/2016,303,11
B02907,4,SABO ONE LLC,GETT,2016,50,12/04/2016,12/10/2016,"71,047","4,246"
B02908,4,SABO TWO LLC,GETT,2016,14,03/27/2016,04/02/2016,102,9
