Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,53,12/25/2016,12/31/2016,"261,225","12,993"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,13,03/26/2017,04/01/2017,"440,917","17,486"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,30,07/19/2015,07/25/2015,"49,335","2,826"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,2,01/08/2017,01/14/2017,"261,885","13,317"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,26,06/21/2015,06/27/2015,"29,210","2,260"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,3,01/15/2017,01/21/2017,"283,847","13,534"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,6,02/05/2017,02/11/2017,"393,444","16,432"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,11,03/06/2016,03/12/2016,"149,540","6,620"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,38,09/13/2015,09/19/2015,"103,528","4,314"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,1,01/01/2016,01/02/2016,"46,283","5,608"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,16,04/16/2017,04/22/2017,"416,295","18,191"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,47,11/15/2015,11/21/2015,"112,806","5,608"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,49,11/29/2015,12/05/2015,"124,113","5,645"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,18,04/24/2016,04/30/2016,"203,463","8,775"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,44,10/23/2016,10/29/2016,"267,162","11,511"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,38,09/11/2016,09/17/2016,"239,846","10,632"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,50,12/04/2016,12/10/2016,"294,548","12,186"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,27,06/28/2015,07/04/2015,"27,021","2,400"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,1,01/01/2017,01/07/2017,"270,608","13,719"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,4,01/22/2017,01/28/2017,"308,621","14,040"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,45,10/30/2016,11/05/2016,"246,114","11,679"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,35,08/21/2016,08/27/2016,"277,245","11,182"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,23,05/29/2016,06/04/2016,"280,105","11,005"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,46,11/08/2015,11/14/2015,"108,812","5,606"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,37,09/06/2015,09/12/2015,"99,824","4,191"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,17,04/17/2016,04/23/2016,"182,696","7,984"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,19,05/01/2016,05/07/2016,"222,152","8,894"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,40,09/25/2016,10/01/2016,"256,871","11,010"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,9,02/21/2016,02/27/2016,"169,336","7,456"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,5,01/29/2017,02/04/2017,"411,982","16,491"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,39,09/18/2016,09/24/2016,"267,633","10,910"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,29,07/12/2015,07/18/2015,"45,862","2,713"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,44,10/25/2015,10/31/2015,"99,114","5,352"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,32,07/31/2016,08/06/2016,"203,898","9,888"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,3,01/10/2016,01/16/2016,"128,232","7,838"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,28,07/05/2015,07/11/2015,"36,686","2,663"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,15,04/05/2015,04/11/2015,"19,170","1,766"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,43,10/18/2015,10/24/2015,"93,543","5,059"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,32,08/02/2015,08/08/2015,"61,560","3,298"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,14,04/02/2017,04/08/2017,"410,554","17,072"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,36,08/28/2016,09/03/2016,"243,727","11,258"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,16,04/12/2015,04/18/2015,"18,304","1,780"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,43,10/16/2016,10/22/2016,"241,176","11,279"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,5,01/24/2016,01/30/2016,"125,330","7,519"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,13,03/20/2016,03/26/2016,"162,959","7,405"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,37,09/04/2016,09/10/2016,"239,006","10,935"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,20,05/10/2015,05/16/2015,"21,447","1,880"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,17,04/23/2017,04/29/2017,"418,318","18,411"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,42,10/09/2016,10/15/2016,"239,227","11,243"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,45,11/01/2015,11/07/2015,"99,267","5,528"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,15,04/03/2016,04/09/2016,"180,448","7,700"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,48,11/20/2016,11/26/2016,"298,352","12,390"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,28,07/03/2016,07/09/2016,"214,309","10,494"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,34,08/16/2015,08/22/2015,"77,200","3,766"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,33,08/07/2016,08/13/2016,"230,482","10,231"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,24,06/07/2015,06/13/2015,"25,505","2,095"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,16,04/10/2016,04/16/2016,"183,303","7,853"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,21,05/15/2016,05/21/2016,"210,324","9,054"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,42,10/11/2015,10/17/2015,"89,938","4,889"
