Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,15,4/3/16,4/9/16,"71,349","1,489"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,10,2/28/16,3/5/16,"1,519",34
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,33,8/7/16,8/13/16,"13,110",294
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,53,12/25/16,12/31/16,"44,200","1,232"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,26,6/19/16,6/25/16,"299,862","7,602"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,39,9/20/15,9/26/15,53,1
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,35,8/23/15,8/29/15,"12,596",668
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,40,9/25/16,10/1/16,"26,570",612
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2015,52,12/20/15,12/26/15,"3,325",118
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,28,7/3/16,7/9/16,"259,680","7,192"
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,3,1/10/16,1/16/16,"7,141",216
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,33,8/7/16,8/13/16,"17,357",373
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,28,7/5/15,7/11/15,"59,078","1,636"
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,25,6/12/16,6/18/16,"62,830","1,457"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,31,7/24/16,7/30/16,"86,731","1,737"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,49,11/29/15,12/5/15,985,19
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,53,12/27/15,12/31/15,552,24
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,44,10/25/15,10/31/15,811,15
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,13,3/26/17,4/1/17,"72,887","1,537"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2017,6,2/5/17,2/11/17,"47,737","2,016"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,7,2/7/16,2/13/16,"14,213",306
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,1,1/1/17,1/7/17,"38,620",865
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,22,5/22/16,5/28/16,"9,039",221
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,53,12/25/16,12/31/16,"30,772",676
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,49,11/27/16,12/3/16,"140,148","3,095"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,53,12/25/16,12/31/16,"12,730",306
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,45,11/1/15,11/7/15,"5,204",134
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,41,10/2/16,10/8/16,"17,868",362
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,1,1/1/16,1/2/16,"3,702",458
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,9,2/26/17,3/4/17,"107,137","2,214"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,31,7/24/16,7/30/16,"6,851",158
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,48,11/20/16,11/26/16,"53,846","1,122"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,14,3/27/16,4/2/16,"3,314",69
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,13,3/20/16,3/26/16,"1,161",25
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,51,12/11/16,12/17/16,"21,146",422
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,14,3/27/16,4/2/16,"15,523",334
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2017,14,4/2/17,4/8/17,"50,373","1,220"
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,5,1/24/16,1/30/16,"60,767","1,455"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,38,9/11/16,9/17/16,"115,010","2,435"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,48,11/20/16,11/26/16,"300,209","8,382"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,52,12/18/16,12/24/16,"15,902",348
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2017,5,1/29/17,2/4/17,"23,632",550
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,30,7/17/16,7/23/16,"3,522",69
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,9,2/21/16,2/27/16,"133,374","2,645"
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,15,4/9/17,4/15/17,"44,345","1,142"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,24,6/5/16,6/11/16,"12,486",635
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2015,52,12/20/15,12/26/15,"2,230",51
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2017,3,1/15/17,1/21/17,"24,255",502
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,13,3/20/16,3/26/16,"2,856",58
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,7,2/12/17,2/18/17,"52,945","1,217"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2015,42,10/11/15,10/17/15,16,1
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,42,10/9/16,10/15/16,"5,567",111
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,25,6/14/15,6/20/15,"58,843","1,536"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,23,5/29/16,6/4/16,"2,879",67
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,37,9/4/16,9/10/16,"56,981","1,429"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,18,4/24/16,4/30/16,"1,225",25
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,21,5/15/16,5/21/16,"1,896",38
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,35,8/21/16,8/27/16,"208,097","5,014"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2017,7,2/12/17,2/18/17,"50,566","1,979"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2015,45,11/1/15,11/7/15,667,12
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,22,5/22/16,5/28/16,"111,729","2,475"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2017,12,3/19/17,3/25/17,"41,564",810
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2015,53,12/27/15,12/31/15,"5,346",263
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,19,5/3/15,5/9/15,"74,376","1,811"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,36,8/28/16,9/3/16,"16,874",374
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,43,10/16/16,10/22/16,"10,796",491
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,15,4/3/16,4/9/16,"3,434",69
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2017,8,2/19/17,2/25/17,"29,742",581
B02512,1,UNTER LLC,UBER-UNTER LLC,2017,15,4/9/17,4/15/17,"7,641",312
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2015,40,9/27/15,10/3/15,40,1
B02598,1,HINTER LLC,UBER-HINTER LLC,2015,7,2/8/15,2/14/15,"69,664","1,481"
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,12,3/13/16,3/19/16,"15,403",703
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,30,7/17/16,7/23/16,"62,997","1,363"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2015,49,11/29/15,12/5/15,686,18
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2017,17,4/23/17,4/29/17,"30,311",584
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,29,7/10/16,7/16/16,"77,353","1,831"
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,36,8/28/16,9/3/16,"3,454",71
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,33,8/7/16,8/13/16,"59,401","1,420"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,23,5/31/15,6/6/15,380,8
B02598,1,HINTER LLC,UBER-HINTER LLC,2015,48,11/22/15,11/28/15,"38,396","1,189"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2017,5,1/29/17,2/4/17,"47,309","1,052"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,16,4/10/16,4/16/16,"7,357",162
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,50,12/4/16,12/10/16,"12,018",460
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,43,10/18/15,10/24/15,640,11
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2015,46,11/8/15,11/14/15,120,3
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,39,9/18/16,9/24/16,"26,143",601
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,39,9/20/15,9/26/15,"62,366","1,650"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,40,9/25/16,10/1/16,"116,402","2,603"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,38,9/11/16,9/17/16,"2,143",47
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2015,46,11/8/15,11/14/15,891,14
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,18,4/24/16,4/30/16,"8,656",178
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,4,1/17/16,1/23/16,"115,055","2,777"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,32,7/31/16,8/6/16,"5,210",99
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,21,5/17/15,5/23/15,"56,113","1,491"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,15,4/5/15,4/11/15,"202,919","5,382"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2017,3,1/15/17,1/21/17,"53,892","1,237"
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,20,5/8/16,5/14/16,"2,052",39
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2015,50,12/6/15,12/12/15,"2,549",58
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,34,8/14/16,8/20/16,"3,468",68
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,11,3/6/16,3/12/16,998,23
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2017,11,3/12/17,3/18/17,"34,488",629
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,30,7/17/16,7/23/16,"3,729",75
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2015,53,12/27/15,12/31/15,644,33
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,14,3/27/16,4/2/16,"61,741","1,493"
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,4,1/22/17,1/28/17,"55,056","1,208"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,44,10/23/16,10/29/16,"21,123",389
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,10,2/28/16,3/5/16,"15,726",713
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,34,8/14/16,8/20/16,"106,020","2,368"
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,30,7/17/16,7/23/16,"10,439",259
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,23,5/31/15,6/6/15,"2,138",60
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,10,2/28/16,3/5/16,"267,287","5,962"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,23,5/29/16,6/4/16,"1,588",36
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,50,12/6/15,12/12/15,"86,524","1,869"
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,14,3/27/16,4/2/16,"2,078",48
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,4,1/17/16,1/23/16,806,18
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,53,12/27/15,12/31/15,"42,269","1,709"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,53,12/27/15,12/31/15,589,18
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,30,7/19/15,7/25/15,"280,646","6,142"
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,46,11/8/15,11/14/15,311,9
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,45,10/30/16,11/5/16,"12,292",248
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,26,6/21/15,6/27/15,492,7
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,27,6/26/16,7/2/16,"59,327","1,797"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,9,2/26/17,3/4/17,"18,807",392
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,6,1/31/16,2/6/16,"16,462",362
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2015,47,11/15/15,11/21/15,102,2
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,13,3/20/16,3/26/16,"1,043",31
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,39,9/18/16,9/24/16,"232,416","5,429"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,52,12/18/16,12/24/16,"102,868","2,436"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2015,47,11/15/15,11/21/15,767,16
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,10,2/28/16,3/5/16,"9,239",235
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,12,3/13/16,3/19/16,"2,173",43
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2015,52,12/20/15,12/26/15,762,22
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2017,12,3/19/17,3/25/17,"26,334",509
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,36,8/28/16,9/3/16,"1,736",45
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2017,3,1/15/17,1/21/17,"26,791",512
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,32,7/31/16,8/6/16,"58,150","1,337"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,2,1/8/17,1/14/17,"319,886","8,285"
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,21,5/15/16,5/21/16,"16,147",667
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2015,44,10/25/15,10/31/15,53,1
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,13,3/26/17,4/1/17,"117,090","2,712"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,37,9/4/16,9/10/16,"18,189",422
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,34,8/14/16,8/20/16,"17,677",371
B02395,3,ABATAR INC,UBER-ABATAR LLC,2015,46,11/8/15,11/14/15,30,3
B02765,1,GRUN LLC,UBER-GRUN LLC,2017,2,1/8/17,1/14/17,"49,928","1,149"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,46,11/6/16,11/12/16,"3,216",64
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,14,4/2/17,4/8/17,"23,598",517
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,8,2/14/16,2/20/16,"68,571","1,521"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,26,6/21/15,6/27/15,"10,400",260
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,39,9/18/16,9/24/16,"75,436","2,972"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,17,4/17/16,4/23/16,"2,888",62
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,1,1/1/16,1/2/16,606,45
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,31,7/24/16,7/30/16,"5,109",101
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2015,42,10/11/15,10/17/15,142,4
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,9,2/21/16,2/27/16,"8,235",207
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,53,12/25/16,12/31/16,"165,427","4,510"
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,9,2/21/16,2/27/16,"16,680",718
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,12,3/15/15,3/21/15,"212,879","5,413"
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,10,2/28/16,3/5/16,"48,510","1,139"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,48,11/20/16,11/26/16,"61,201","2,287"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,29,7/12/15,7/18/15,"14,035",710
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,23,5/29/16,6/4/16,"69,166","1,848"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,46,11/8/15,11/14/15,"87,180","1,867"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,44,10/25/15,10/31/15,52,1
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,47,11/13/16,11/19/16,"24,257",461
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,2,1/3/16,1/9/16,"1,432",33
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,45,11/1/15,11/7/15,781,16
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,45,10/30/16,11/5/16,"16,670",359
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,29,7/12/15,7/18/15,"66,139","1,618"
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,26,6/19/16,6/25/16,"127,950","2,975"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2015,49,11/29/15,12/5/15,"4,630",131
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,15,4/3/16,4/9/16,"86,349","1,667"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2015,53,12/27/15,12/31/15,478,17
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,44,10/23/16,10/29/16,"26,079",454
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,11,3/8/15,3/14/15,"91,331","2,083"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,9,2/22/15,2/28/15,"90,546","1,926"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,45,11/1/15,11/7/15,"15,275",722
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2017,2,1/8/17,1/14/17,"26,844",484
B02395,3,ABATAR INC,UBER-ABATAR LLC,2017,2,1/8/17,1/14/17,"49,432","2,037"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,13,3/26/17,4/1/17,"326,375","8,465"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,1,1/1/16,1/2/16,601,37
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,43,10/16/16,10/22/16,"132,380","3,064"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,22,5/22/16,5/28/16,"10,510",248
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,18,4/24/16,4/30/16,"20,920",491
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,50,12/6/15,12/12/15,"307,596","7,977"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2015,44,10/25/15,10/31/15,"1,079",36
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,46,11/6/16,11/12/16,"111,143","2,349"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,51,12/11/16,12/17/16,"19,226",354
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2017,6,2/5/17,2/11/17,"28,656",530
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2017,8,2/19/17,2/25/17,"50,405","1,235"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,49,11/27/16,12/3/16,"22,733",495
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,45,10/30/16,11/5/16,"2,575",61
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2017,11,3/12/17,3/18/17,"55,227","1,233"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2017,1,1/1/17,1/7/17,"35,713",793
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,32,7/31/16,8/6/16,"59,308","1,449"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,21,5/17/15,5/23/15,"216,052","5,911"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2017,9,2/26/17,3/4/17,"35,955",621
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,31,7/24/16,7/30/16,"14,579",306
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,17,4/19/15,4/25/15,"240,450","5,651"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,22,5/22/16,5/28/16,"23,773",624
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,42,10/9/16,10/15/16,"4,969",98
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,26,6/19/16,6/25/16,"70,050","1,831"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,35,8/23/15,8/29/15,"11,512",322
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,50,12/6/15,12/12/15,"1,083",18
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,50,12/4/16,12/10/16,"25,388",493
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,40,9/27/15,10/3/15,342,7
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,46,11/6/16,11/12/16,"8,831",163
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,25,6/12/16,6/18/16,"118,766","2,467"
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,47,11/15/15,11/21/15,781,15
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,5,1/24/16,1/30/16,"261,601","6,065"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,47,11/13/16,11/19/16,"61,334","1,338"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,5,1/24/16,1/30/16,534,16
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,36,8/30/15,9/5/15,100,3
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,49,11/29/15,12/5/15,"17,690",437
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2017,3,1/15/17,1/21/17,"22,348",475
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,14,3/27/16,4/2/16,"2,911",59
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,2,1/4/15,1/10/15,"76,414","1,831"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,46,11/6/16,11/12/16,"316,572","8,286"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,1,1/1/16,1/2/16,"68,697","4,964"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,27,6/28/15,7/4/15,"57,275","2,016"
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,5,1/24/16,1/30/16,"9,088",237
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,27,6/26/16,7/2/16,"25,113",638
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2017,9,2/26/17,3/4/17,"73,381","1,619"
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2017,7,2/12/17,2/18/17,"68,549","1,445"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,52,12/18/16,12/24/16,"308,597","8,381"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,48,11/20/16,11/26/16,"21,714",484
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,19,5/1/16,5/7/16,"2,502",51
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,22,5/22/16,5/28/16,"2,848",62
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,37,9/6/15,9/12/15,"258,594","6,926"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,1,1/1/15,1/3/15,"3,053",274
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,20,5/8/16,5/14/16,"3,046",61
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,41,10/2/16,10/8/16,"108,331","2,452"
